Customer,OrderNumber,OrderDate,OrderAmount,Status 
Віктор Бондаренко,2001,2024-10-29,3250.00,Виконано 
Ольга Левченко,2002,2024-10-30,1200.00,В процесі 
Сергій Герасименко,2003,2024-11-01,450.00,Виконано 
Катерина Остапенко,2004,2024-11-02,360.00,В процесі 
Іван Шевченко,2005,2024-11-03,5700.00,Виконано 
Андрій Кузьменко,2006,2024-11-05,2750.25,Виконано 
Світлана Ткаченко,2007,2024-11-07,189.75,В процесі 
Аліна Гончар,2008,2024-11-08,990.00,В процесі 
Микола Литвиненко,2009,2024-11-09,7500.00,Виконано 
Валентина Мороз,2010,2024-11-10,620.00,Виконано
